,symbol
1961,CNY
1962,INR
1963,VWO
1964,VNQ
1965,VEA
1966,VGK
1967,VEU
1968,VOO
1969,VCSH
1970,BND
1971,VCIT
1972,VTI
1973,VXUS
1974,VTV
1975,VT
1976,BNDX
1977,VMBS
1978,VYM
1979,VTEB
1980,VIG
1981,BSV
1982,BIV
1983,VUG
1984,VFH
1985,VGSH
1986,BLV
1987,VGT
1988,VTIP
1989,VCLT
1990,ESGV
1991,VBR
1992,VPL
1993,VB
1994,VDC
1995,VNQI
1996,VGIT
1997,VDE
1998,VOE
1999,VO
2000,VONG
2001,VGLT
2002,VIOO
2003,VTWO
2004,VBK
2005,VPU
2006,EDV
2007,VWOB
2008,VV
2009,VHT
2010,VSS
2011,VXF
2012,VOT
2013,MGK
2014,MGV
2015,VIGI
2016,VOX
2017,VIS
2018,VONV
2019,VYMI
2020,VOOV
2021,VOOG
2022,MGC
2023,VAW
2024,VCR
2025,VSGX
2026,VTC
2027,VONE
2028,VFMV
2029,BNDW
2030,IVOO
2031,VTWV
2032,IVOV
2033,VIOV
2034,VFVA
2035,VTWG
2036,IVOG
2037,VTHR
2038,VIOG
2039,VNGUF
2040,VFMO
2041,VFQY
2042,VFMF
2043,VFLQ
2044,VFPEF
2045,VGFUF
2046,UGAZ
2047,TVIX
2048,DWT
2049,UWT
2050,DGAZ
2051,USLV
2052,DSLV
2053,UGLD
2054,DGLD
2055,VIIX
2056,ZIV
2057,EVIX
2058,DEUR
2059,UAUD
2060,UEUR
2061,DGBP
2062,EXIV
2063,UJPY
2064,DLBR
2065,UGBP
2066,DJPY
2067,UCHF
2068,DAUD
2069,DCHF
2070,VIDI
2071,VUSE
2072,VBND
2073,PFFA
2074,VRAI
2075,VPC
2076,HLAL
2077,WBII
2078,WBIY
2079,WBIG
2080,WBIF
2081,WBIL
2082,WBIE
2083,WBIN
2084,WBIA
2085,WBID
2086,WBIB
2087,WBIC
2088,DXJ
2089,EPI
2090,USFR
2091,HEDJ
2092,AGGY
2093,DEM
2094,DON
2095,EZM
2096,DES
2097,DGS
2098,DGRW
2099,DLN
2100,EES
2101,XSOE
2102,EPS
2103,DLS
2104,IQDG
2105,DWM
2106,DTH
2107,IHDG
2108,NTSX
2109,DTD
2110,GCC
2111,DOL
2112,HYZD
2113,USMF
2114,DDWM
2115,AGZD
2116,DHS
2117,PUTW
2118,ELD
2119,DFE
2120,DTN
2121,GULF
2122,DGRS
2123,WTMF
2124,DYLS
2125,DIM
2126,DDLS
2127,DEW
2128,HYND
2129,WFHY
2130,DNL
2131,DVEM
2132,DFJ
2133,CXSE
2134,DRW
2135,DGRE
2136,DXJS
2137,EUSC
2138,AGND
2139,DOO
2140,EUDG
2141,WBAL
2142,DYB
2143,DXGE
2144,EMCG
2145,USDU
2146,CEW
2147,CYB
2148,EXT
2149,GLBY
2150,QSY
2151,DHDG
2152,DWMF
2153,WCHN
2154,EMCB
2155,PLAT
2156,JAMF
2157,AXJL
2158,IXSE
2159,RPUT
2160,EUMF
2161,HYDW
2162,HYUP
2163,SHYL
